Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Nick Foles (11250032),Nick Foles,11250032,QB,5700,PHI@TB 09/16/2018 01:00PM ET,PHI,6.08
WR,Kenny Stills (11250176),Kenny Stills,11250176,WR/FLEX,5700,MIA@NYJ 09/16/2018 01:00PM ET,MIA,29.6
RB,LeSean McCoy (11250002),LeSean McCoy,11250002,RB/FLEX,5700,LAC@BUF 09/16/2018 01:00PM ET,BUF,3.1
RB,Mark Ingram (11250044),Mark Ingram,11250044,RB/FLEX,5700,CLE@NO 09/16/2018 01:00PM ET,NO,0
WR,Doug Baldwin (11250009),Doug Baldwin,11250009,WR/FLEX,5700,SEA@CHI 09/17/2018 08:15PM ET,SEA,0
TE,Greg Olsen (11249907),Greg Olsen,11249907,TE/FLEX,5600,CAR@ATL 09/16/2018 01:00PM ET,CAR,5.3
QB,Marcus Mariota (11250370),Marcus Mariota,11250370,QB,5600,HOU@TEN 09/16/2018 01:00PM ET,TEN,3.62
RB,T.J. Yeldon (11250408),T.J. Yeldon,11250408,RB/FLEX,5600,NE@JAX 09/16/2018 04:25PM ET,JAX,15.9
WR,Demaryius Thomas (11249978),Demaryius Thomas,11249978,WR/FLEX,5600,OAK@DEN 09/16/2018 04:25PM ET,DEN,18.3
QB,Dak Prescott (11250277),Dak Prescott,11250277,QB,5600,NYG@DAL 09/16/2018 08:20PM ET,DAL,9.7
WR,Allen Robinson II (11250385),Allen Robinson II,11250385,WR/FLEX,5600,SEA@CHI 09/17/2018 08:15PM ET,CHI,10.1
RB,Adrian Peterson (11249929),Adrian Peterson,11249929,RB/FLEX,5500,IND@WAS 09/16/2018 01:00PM ET,WAS,23.6
QB,Ryan Fitzpatrick (11249890),Ryan Fitzpatrick,11249890,QB,5500,PHI@TB 09/16/2018 01:00PM ET,TB,45.28
WR,Cooper Kupp (11250496),Cooper Kupp,11250496,WR/FLEX,5500,ARI@LAR 09/16/2018 04:05PM ET,LAR,17.8
QB,Derek Carr (11250108),Derek Carr,11250108,QB,5500,OAK@DEN 09/16/2018 04:25PM ET,OAK,12.22
QB,Eli Manning (11249913),Eli Manning,11249913,QB,5500,NYG@DAL 09/16/2018 08:20PM ET,NYG,8.16
RB,Lamar Miller (11250148),Lamar Miller,11250148,RB/FLEX,5400,HOU@TEN 09/16/2018 01:00PM ET,HOU,11.9
WR,Robby Anderson (11250381),Robby Anderson,11250381,WR/FLEX,5400,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,10.2
QB,Blake Bortles (11250257),Blake Bortles,11250257,QB,5400,NE@JAX 09/16/2018 04:25PM ET,JAX,14.24
WR,Chris Hogan (11250264),Chris Hogan,11250264,WR/FLEX,5400,NE@JAX 09/16/2018 04:25PM ET,NE,2.1
RB,Tevin Coleman (11250479),Tevin Coleman,11250479,RB/FLEX,5300,CAR@ATL 09/16/2018 01:00PM ET,ATL,11.5
WR,Will Fuller V (11250615),Will Fuller V,11250615,WR/FLEX,5300,HOU@TEN 09/16/2018 01:00PM ET,HOU,0
QB,Ryan Tannehill (11249986),Ryan Tannehill,11249986,QB,5300,MIA@NYJ 09/16/2018 01:00PM ET,MIA,15.6
RB,Derrick Henry (11250534),Derrick Henry,11250534,RB/FLEX,5200,HOU@TEN 09/16/2018 01:00PM ET,TEN,4.1
